horizon_weeks,decision_week,design,design_label,future_failure_events,captured,missed_failure_weeks,recall_at_15,precision_at_15,total_cost
1,2025-08-11,A_current_success,A. Current success only,30,13,17,0.43333333333333335,0.8666666666666667,15900
1,2025-08-11,B_success_deterioration,B. Success + deterioration,30,13,17,0.43333333333333335,0.8666666666666667,15900
1,2025-08-11,C_current_production,C. Current production score,30,13,17,0.43333333333333335,0.8666666666666667,15900
1,2025-08-18,A_current_success,A. Current success only,31,13,18,0.41935483870967744,0.8666666666666667,16500
1,2025-08-18,B_success_deterioration,B. Success + deterioration,31,13,18,0.41935483870967744,0.8666666666666667,16500
1,2025-08-18,C_current_production,C. Current production score,31,13,18,0.41935483870967744,0.8666666666666667,16500
1,2025-08-25,A_current_success,A. Current success only,28,11,17,0.39285714285714285,0.7333333333333333,15900
1,2025-08-25,B_success_deterioration,B. Success + deterioration,28,7,21,0.25,0.4666666666666667,18300
1,2025-08-25,C_current_production,C. Current production score,28,8,20,0.2857142857142857,0.5333333333333333,17700
1,2025-09-01,A_current_success,A. Current success only,21,6,15,0.2857142857142857,0.4,14700
1,2025-09-01,B_success_deterioration,B. Success + deterioration,21,10,11,0.47619047619047616,0.6666666666666666,12300
1,2025-09-01,C_current_production,C. Current production score,21,10,11,0.47619047619047616,0.6666666666666666,12300
1,2025-09-08,A_current_success,A. Current success only,27,9,18,0.3333333333333333,0.6,16500
1,2025-09-08,B_success_deterioration,B. Success + deterioration,27,12,15,0.4444444444444444,0.8,14700
1,2025-09-08,C_current_production,C. Current production score,27,13,14,0.48148148148148145,0.8666666666666667,14100
1,2025-09-15,A_current_success,A. Current success only,28,12,16,0.42857142857142855,0.8,15300
1,2025-09-15,B_success_deterioration,B. Success + deterioration,28,13,15,0.4642857142857143,0.8666666666666667,14700
1,2025-09-15,C_current_production,C. Current production score,28,13,15,0.4642857142857143,0.8666666666666667,14700
1,2025-09-22,A_current_success,A. Current success only,27,10,17,0.37037037037037035,0.6666666666666666,15900
1,2025-09-22,B_success_deterioration,B. Success + deterioration,27,11,16,0.4074074074074074,0.7333333333333333,15300
1,2025-09-22,C_current_production,C. Current production score,27,11,16,0.4074074074074074,0.7333333333333333,15300
1,2025-09-29,A_current_success,A. Current success only,25,10,15,0.4,0.6666666666666666,14700
1,2025-09-29,B_success_deterioration,B. Success + deterioration,25,13,12,0.52,0.8666666666666667,12900
1,2025-09-29,C_current_production,C. Current production score,25,12,13,0.48,0.8,13500
1,2025-10-06,A_current_success,A. Current success only,27,14,13,0.5185185185185185,0.9333333333333333,13500
1,2025-10-06,B_success_deterioration,B. Success + deterioration,27,13,14,0.48148148148148145,0.8666666666666667,14100
1,2025-10-06,C_current_production,C. Current production score,27,13,14,0.48148148148148145,0.8666666666666667,14100
1,2025-10-13,A_current_success,A. Current success only,33,13,20,0.3939393939393939,0.8666666666666667,17700
1,2025-10-13,B_success_deterioration,B. Success + deterioration,33,14,19,0.42424242424242425,0.9333333333333333,17100
1,2025-10-13,C_current_production,C. Current production score,33,14,19,0.42424242424242425,0.9333333333333333,17100
1,2025-10-20,A_current_success,A. Current success only,33,12,21,0.36363636363636365,0.8,18300
1,2025-10-20,B_success_deterioration,B. Success + deterioration,33,13,20,0.3939393939393939,0.8666666666666667,17700
1,2025-10-20,C_current_production,C. Current production score,33,13,20,0.3939393939393939,0.8666666666666667,17700
1,2025-10-27,A_current_success,A. Current success only,37,14,23,0.3783783783783784,0.9333333333333333,19500
1,2025-10-27,B_success_deterioration,B. Success + deterioration,37,13,24,0.35135135135135137,0.8666666666666667,20100
1,2025-10-27,C_current_production,C. Current production score,37,13,24,0.35135135135135137,0.8666666666666667,20100
1,2025-11-03,A_current_success,A. Current success only,40,15,25,0.375,1.0,20700
1,2025-11-03,B_success_deterioration,B. Success + deterioration,40,13,27,0.325,0.8666666666666667,21900
1,2025-11-03,C_current_production,C. Current production score,40,15,25,0.375,1.0,20700
1,2025-11-10,A_current_success,A. Current success only,40,14,26,0.35,0.9333333333333333,21300
1,2025-11-10,B_success_deterioration,B. Success + deterioration,40,14,26,0.35,0.9333333333333333,21300
1,2025-11-10,C_current_production,C. Current production score,40,13,27,0.325,0.8666666666666667,21900
1,2025-11-17,A_current_success,A. Current success only,34,10,24,0.29411764705882354,0.6666666666666666,20100
1,2025-11-17,B_success_deterioration,B. Success + deterioration,34,13,21,0.38235294117647056,0.8666666666666667,18300
1,2025-11-17,C_current_production,C. Current production score,34,13,21,0.38235294117647056,0.8666666666666667,18300
1,2025-11-24,A_current_success,A. Current success only,29,13,16,0.4482758620689655,0.8666666666666667,15300
1,2025-11-24,B_success_deterioration,B. Success + deterioration,29,14,15,0.4827586206896552,0.9333333333333333,14700
1,2025-11-24,C_current_production,C. Current production score,29,14,15,0.4827586206896552,0.9333333333333333,14700
1,2025-12-01,A_current_success,A. Current success only,31,10,21,0.3225806451612903,0.6666666666666666,18300
1,2025-12-01,B_success_deterioration,B. Success + deterioration,31,12,19,0.3870967741935484,0.8,17100
1,2025-12-01,C_current_production,C. Current production score,31,12,19,0.3870967741935484,0.8,17100
1,2025-12-08,A_current_success,A. Current success only,34,12,22,0.35294117647058826,0.8,18900
1,2025-12-08,B_success_deterioration,B. Success + deterioration,34,12,22,0.35294117647058826,0.8,18900
1,2025-12-08,C_current_production,C. Current production score,34,12,22,0.35294117647058826,0.8,18900
1,2025-12-15,A_current_success,A. Current success only,30,11,19,0.36666666666666664,0.7333333333333333,17100
1,2025-12-15,B_success_deterioration,B. Success + deterioration,30,12,18,0.4,0.8,16500
1,2025-12-15,C_current_production,C. Current production score,30,11,19,0.36666666666666664,0.7333333333333333,17100
1,2025-12-22,A_current_success,A. Current success only,30,11,19,0.36666666666666664,0.7333333333333333,17100
1,2025-12-22,B_success_deterioration,B. Success + deterioration,30,13,17,0.43333333333333335,0.8666666666666667,15900
1,2025-12-22,C_current_production,C. Current production score,30,12,18,0.4,0.8,16500
1,2025-12-29,A_current_success,A. Current success only,29,13,16,0.4482758620689655,0.8666666666666667,15300
1,2025-12-29,B_success_deterioration,B. Success + deterioration,29,13,16,0.4482758620689655,0.8666666666666667,15300
1,2025-12-29,C_current_production,C. Current production score,29,13,16,0.4482758620689655,0.8666666666666667,15300
1,2026-01-05,A_current_success,A. Current success only,30,15,15,0.5,1.0,14700
1,2026-01-05,B_success_deterioration,B. Success + deterioration,30,11,19,0.36666666666666664,0.7333333333333333,17100
1,2026-01-05,C_current_production,C. Current production score,30,12,18,0.4,0.8,16500
1,2026-01-12,A_current_success,A. Current success only,28,14,14,0.5,0.9333333333333333,14100
1,2026-01-12,B_success_deterioration,B. Success + deterioration,28,14,14,0.5,0.9333333333333333,14100
1,2026-01-12,C_current_production,C. Current production score,28,15,13,0.5357142857142857,1.0,13500
1,2026-01-19,A_current_success,A. Current success only,26,15,11,0.5769230769230769,1.0,12300
1,2026-01-19,B_success_deterioration,B. Success + deterioration,26,8,18,0.3076923076923077,0.5333333333333333,16500
1,2026-01-19,C_current_production,C. Current production score,26,9,17,0.34615384615384615,0.6,15900
2,2025-08-11,A_current_success,A. Current success only,61,24,37,0.39344262295081966,0.8,27900
2,2025-08-11,B_success_deterioration,B. Success + deterioration,61,24,37,0.39344262295081966,0.8,27900
2,2025-08-11,C_current_production,C. Current production score,61,25,36,0.4098360655737705,0.8333333333333334,27300
2,2025-08-18,A_current_success,A. Current success only,59,22,37,0.3728813559322034,0.7333333333333333,27900
2,2025-08-18,B_success_deterioration,B. Success + deterioration,59,22,37,0.3728813559322034,0.7333333333333333,27900
2,2025-08-18,C_current_production,C. Current production score,59,22,37,0.3728813559322034,0.7333333333333333,27900
2,2025-08-25,A_current_success,A. Current success only,49,16,33,0.32653061224489793,0.5333333333333333,25500
2,2025-08-25,B_success_deterioration,B. Success + deterioration,49,11,38,0.22448979591836735,0.36666666666666664,28500
2,2025-08-25,C_current_production,C. Current production score,49,12,37,0.24489795918367346,0.4,27900
