decision_week,design,design_label,future_failure_events,captured_failure_events,missed_failure_weeks,recall_at_15,precision_at_15,total_cost
2025-08-11,A_current_success,A. Current success only,61,24,37,0.39344262295081966,0.8,27900
2025-08-11,B_success_deterioration,B. Success + deterioration,61,24,37,0.39344262295081966,0.8,27900
2025-08-11,C_success_persistence,C. Success + persistence,61,24,37,0.39344262295081966,0.8,27900
2025-08-11,D_business_only,D. Business-only combined,61,24,37,0.39344262295081966,0.8,27900
2025-08-11,E_final_combined,E. Final + technical confirmation,61,25,36,0.4098360655737705,0.8333333333333334,27300
2025-08-18,A_current_success,A. Current success only,59,22,37,0.3728813559322034,0.7333333333333333,27900
2025-08-18,B_success_deterioration,B. Success + deterioration,59,22,37,0.3728813559322034,0.7333333333333333,27900
2025-08-18,C_success_persistence,C. Success + persistence,59,22,37,0.3728813559322034,0.7333333333333333,27900
2025-08-18,D_business_only,D. Business-only combined,59,22,37,0.3728813559322034,0.7333333333333333,27900
2025-08-18,E_final_combined,E. Final + technical confirmation,59,22,37,0.3728813559322034,0.7333333333333333,27900
2025-08-25,A_current_success,A. Current success only,49,16,33,0.32653061224489793,0.5333333333333333,25500
2025-08-25,B_success_deterioration,B. Success + deterioration,49,11,38,0.22448979591836735,0.36666666666666664,28500
2025-08-25,C_success_persistence,C. Success + persistence,49,16,33,0.32653061224489793,0.5333333333333333,25500
2025-08-25,D_business_only,D. Business-only combined,49,11,38,0.22448979591836735,0.36666666666666664,28500
2025-08-25,E_final_combined,E. Final + technical confirmation,49,12,37,0.24489795918367346,0.4,27900
2025-09-01,A_current_success,A. Current success only,48,10,38,0.20833333333333334,0.3333333333333333,28500
2025-09-01,B_success_deterioration,B. Success + deterioration,48,19,29,0.3958333333333333,0.6333333333333333,23100
2025-09-01,C_success_persistence,C. Success + persistence,48,10,38,0.20833333333333334,0.3333333333333333,28500
2025-09-01,D_business_only,D. Business-only combined,48,19,29,0.3958333333333333,0.6333333333333333,23100
2025-09-01,E_final_combined,E. Final + technical confirmation,48,19,29,0.3958333333333333,0.6333333333333333,23100
2025-09-08,A_current_success,A. Current success only,55,16,39,0.2909090909090909,0.5333333333333333,29100
2025-09-08,B_success_deterioration,B. Success + deterioration,55,23,32,0.41818181818181815,0.7666666666666667,24900
2025-09-08,C_success_persistence,C. Success + persistence,55,12,43,0.21818181818181817,0.4,31500
2025-09-08,D_business_only,D. Business-only combined,55,23,32,0.41818181818181815,0.7666666666666667,24900
2025-09-08,E_final_combined,E. Final + technical confirmation,55,25,30,0.45454545454545453,0.8333333333333334,23700
2025-09-15,A_current_success,A. Current success only,55,21,34,0.38181818181818183,0.7,26100
2025-09-15,B_success_deterioration,B. Success + deterioration,55,22,33,0.4,0.7333333333333333,25500
