decision_week,rank_position,model_a_gateway,model_b_gateway,same_gateway
2026-02-02,1,022C6F326E3B,022C6F326E3B,True
2026-02-02,2,0E1B6F4DBA34,0A4E33E2692B,False
2026-02-02,3,06F49BD8F572,0E1B6F4DBA34,False
2026-02-02,4,0A4E33E2692B,06F49BD8F572,False
2026-02-02,5,0A2778A31BE3,0A2778A31BE3,True
2026-02-02,6,06FFEC2EFA5E,0AA296FF247D,False
2026-02-02,7,0AA296FF247D,06FFEC2EFA5E,False
2026-02-02,8,02423E0E6E9F,0A55DA266F71,False
2026-02-02,9,0A55DA266F71,02097AB58D3C,False
2026-02-02,10,064AED1EC0AA,0E9DC914D8DF,False
2026-02-02,11,02097AB58D3C,0279D2AC6ACE,False
2026-02-02,12,0E9A30D927A5,0A7AC5BDAF86,False
2026-02-02,13,0279D2AC6ACE,027D07FC97FC,False
2026-02-02,14,0E9DC914D8DF,064AED1EC0AA,False
2026-02-02,15,0AB6B45C775A,0AD276FC5E27,False
2026-02-09,1,022C6F326E3B,0A568E79FEF6,False
2026-02-09,2,02423E0E6E9F,0AC437023B18,False
2026-02-09,3,02D4DFEF402A,024570739DE0,False
2026-02-09,4,024570739DE0,02C0F45F31E7,False
2026-02-09,5,0ADD02AB693D,0ADD02AB693D,True
2026-02-09,6,0AB6B45C775A,022C6F326E3B,False
2026-02-09,7,06C0D5E3BCDB,02D4DFEF402A,False
2026-02-09,8,069A98DEEB1D,02423E0E6E9F,False
2026-02-09,9,06F49BD8F572,0AB6B45C775A,False
2026-02-09,10,02314F9A9168,0E55F28AB569,False
2026-02-09,11,0AC437023B18,06C0D5E3BCDB,False
2026-02-09,12,0E55F28AB569,02314F9A9168,False
2026-02-09,13,02892F51E1CB,069A98DEEB1D,False
2026-02-09,14,02C0F45F31E7,06F49BD8F572,False
2026-02-09,15,0E1B6F4DBA34,0E9A30D927A5,False
2026-02-16,1,022C6F326E3B,0A568E79FEF6,False
2026-02-16,2,02D4DFEF402A,0AC437023B18,False
2026-02-16,3,02423E0E6E9F,024570739DE0,False
2026-02-16,4,024570739DE0,02C0F45F31E7,False
2026-02-16,5,06C0D5E3BCDB,0ADD02AB693D,False
2026-02-16,6,0AB6B45C775A,022C6F326E3B,False
2026-02-16,7,0E55F28AB569,02D4DFEF402A,False
2026-02-16,8,06F49BD8F572,02423E0E6E9F,False
2026-02-16,9,0AC437023B18,0AB6B45C775A,False
2026-02-16,10,02314F9A9168,0E55F28AB569,False
2026-02-16,11,02892F51E1CB,06C0D5E3BCDB,False
2026-02-16,12,0E1B6F4DBA34,02314F9A9168,False
2026-02-16,13,02C0F45F31E7,069A98DEEB1D,False
2026-02-16,14,0ADD02AB693D,06F49BD8F572,False
2026-02-16,15,0A4E33E2692B,0E9A30D927A5,False
2026-02-23,1,022C6F326E3B,0A568E79FEF6,False
2026-02-23,2,02D4DFEF402A,0AC437023B18,False
2026-02-23,3,02423E0E6E9F,024570739DE0,False
2026-02-23,4,024570739DE0,02C0F45F31E7,False
2026-02-23,5,06C0D5E3BCDB,0ADD02AB693D,False
2026-02-23,6,0AB6B45C775A,022C6F326E3B,False
2026-02-23,7,0AC437023B18,02D4DFEF402A,False
2026-02-23,8,02892F51E1CB,02423E0E6E9F,False
2026-02-23,9,02C0F45F31E7,0AB6B45C775A,False
2026-02-23,10,0A4E33E2692B,0E55F28AB569,False
2026-02-23,11,0E1B6F4DBA34,06C0D5E3BCDB,False
2026-02-23,12,0ADD02AB693D,02314F9A9168,False
2026-02-23,13,06F49BD8F572,069A98DEEB1D,False
2026-02-23,14,0E9A30D927A5,06F49BD8F572,False
2026-02-23,15,06F2CDBD2C41,0E9A30D927A5,False
2026-03-02,1,022C6F326E3B,0A568E79FEF6,False
2026-03-02,2,02C0F45F31E7,0AC437023B18,False
2026-03-02,3,02D4DFEF402A,024570739DE0,False
2026-03-02,4,024570739DE0,02C0F45F31E7,False
2026-03-02,5,06C0D5E3BCDB,0ADD02AB693D,False
2026-03-02,6,0AC437023B18,022C6F326E3B,False
2026-03-02,7,02892F51E1CB,02D4DFEF402A,False
2026-03-02,8,02423E0E6E9F,02423E0E6E9F,True
2026-03-02,9,06F49BD8F572,0AB6B45C775A,False
2026-03-02,10,0A4E33E2692B,0E55F28AB569,False
2026-03-02,11,0ADD02AB693D,06C0D5E3BCDB,False
2026-03-02,12,0E9A30D927A5,02314F9A9168,False
2026-03-02,13,028B24EADDAD,069A98DEEB1D,False
2026-03-02,14,024DD3A9ADCA,06F49BD8F572,False
2026-03-02,15,0AB6B45C775A,0E9A30D927A5,False
2026-03-09,1,022C6F326E3B,0A568E79FEF6,False
2026-03-09,2,02D4DFEF402A,0AC437023B18,False
2026-03-09,3,024570739DE0,024570739DE0,True
2026-03-09,4,06C0D5E3BCDB,02C0F45F31E7,False
2026-03-09,5,02423E0E6E9F,0ADD02AB693D,False
2026-03-09,6,02892F51E1CB,022C6F326E3B,False
2026-03-09,7,06F49BD8F572,02D4DFEF402A,False
2026-03-09,8,02C0F45F31E7,02423E0E6E9F,False
2026-03-09,9,0AC437023B18,0AB6B45C775A,False
2026-03-09,10,0A4E33E2692B,0E55F28AB569,False
2026-03-09,11,028B24EADDAD,06C0D5E3BCDB,False
2026-03-09,12,024DD3A9ADCA,02314F9A9168,False
2026-03-09,13,06F2CDBD2C41,069A98DEEB1D,False
2026-03-09,14,0AB6B45C775A,06F49BD8F572,False
2026-03-09,15,0ADD02AB693D,0E9A30D927A5,False
2026-03-16,1,02D4DFEF402A,0A568E79FEF6,False
2026-03-16,2,02C0F45F31E7,0AC437023B18,False
2026-03-16,3,022C6F326E3B,024570739DE0,False
2026-03-16,4,024570739DE0,02C0F45F31E7,False
2026-03-16,5,06C0D5E3BCDB,0ADD02AB693D,False
2026-03-16,6,0AC437023B18,022C6F326E3B,False
2026-03-16,7,02892F51E1CB,02D4DFEF402A,False
2026-03-16,8,02423E0E6E9F,02423E0E6E9F,True
2026-03-16,9,0A4E33E2692B,0AB6B45C775A,False
2026-03-16,10,028B24EADDAD,0E55F28AB569,False
2026-03-16,11,024DD3A9ADCA,06C0D5E3BCDB,False
2026-03-16,12,06F2CDBD2C41,02314F9A9168,False
2026-03-16,13,0AA296FF247D,069A98DEEB1D,False
2026-03-16,14,0AB6B45C775A,06F49BD8F572,False
2026-03-16,15,06F49BD8F572,0E9A30D927A5,False
2026-03-23,1,022C6F326E3B,0A568E79FEF6,False
2026-03-23,2,024570739DE0,0AC437023B18,False
2026-03-23,3,02D4DFEF402A,024570739DE0,False
2026-03-23,4,0AC437023B18,02C0F45F31E7,False
2026-03-23,5,02C0F45F31E7,0ADD02AB693D,False
2026-03-23,6,0A4E33E2692B,022C6F326E3B,False
2026-03-23,7,02892F51E1CB,02D4DFEF402A,False
2026-03-23,8,02423E0E6E9F,02423E0E6E9F,True
2026-03-23,9,06C0D5E3BCDB,0AB6B45C775A,False
2026-03-23,10,024DD3A9ADCA,0E55F28AB569,False
2026-03-23,11,0AA296FF247D,06C0D5E3BCDB,False
2026-03-23,12,0AB6B45C775A,02314F9A9168,False
2026-03-23,13,0E9A30D927A5,069A98DEEB1D,False
2026-03-23,14,06F49BD8F572,06F49BD8F572,True
2026-03-23,15,028B24EADDAD,0E9A30D927A5,False
