decision_week,future_failure_events,simple_recall,simple_precision,simple_missed_failure_weeks,simple_total_cost,combined_recall,combined_precision,combined_missed_failure_weeks,combined_total_cost,cost_difference,horizon_weeks
2025-08-11,30,0.43333333333333335,0.8666666666666667,17,15900,0.43333333333333335,0.8666666666666667,17,15900,0,1
2025-08-18,31,0.41935483870967744,0.8666666666666667,18,16500,0.41935483870967744,0.8666666666666667,18,16500,0,1
2025-08-25,28,0.39285714285714285,0.7333333333333333,17,15900,0.2857142857142857,0.5333333333333333,20,17700,1800,1
2025-09-01,21,0.2857142857142857,0.4,15,14700,0.47619047619047616,0.6666666666666666,11,12300,-2400,1
2025-09-08,27,0.3333333333333333,0.6,18,16500,0.48148148148148145,0.8666666666666667,14,14100,-2400,1
2025-09-15,28,0.42857142857142855,0.8,16,15300,0.4642857142857143,0.8666666666666667,15,14700,-600,1
2025-09-22,27,0.37037037037037035,0.6666666666666666,17,15900,0.4074074074074074,0.7333333333333333,16,15300,-600,1
2025-09-29,25,0.4,0.6666666666666666,15,14700,0.48,0.8,13,13500,-1200,1
2025-10-06,27,0.5185185185185185,0.9333333333333333,13,13500,0.48148148148148145,0.8666666666666667,14,14100,600,1
2025-10-13,33,0.3939393939393939,0.8666666666666667,20,17700,0.42424242424242425,0.9333333333333333,19,17100,-600,1
2025-10-20,33,0.36363636363636365,0.8,21,18300,0.3939393939393939,0.8666666666666667,20,17700,-600,1
2025-10-27,37,0.3783783783783784,0.9333333333333333,23,19500,0.35135135135135137,0.8666666666666667,24,20100,600,1
2025-11-03,40,0.375,1.0,25,20700,0.375,1.0,25,20700,0,1
2025-11-10,40,0.35,0.9333333333333333,26,21300,0.325,0.8666666666666667,27,21900,600,1
2025-11-17,34,0.29411764705882354,0.6666666666666666,24,20100,0.38235294117647056,0.8666666666666667,21,18300,-1800,1
2025-11-24,29,0.4482758620689655,0.8666666666666667,16,15300,0.4827586206896552,0.9333333333333333,15,14700,-600,1
2025-12-01,31,0.3225806451612903,0.6666666666666666,21,18300,0.3870967741935484,0.8,19,17100,-1200,1
2025-12-08,34,0.35294117647058826,0.8,22,18900,0.35294117647058826,0.8,22,18900,0,1
2025-12-15,30,0.36666666666666664,0.7333333333333333,19,17100,0.36666666666666664,0.7333333333333333,19,17100,0,1
2025-12-22,30,0.36666666666666664,0.7333333333333333,19,17100,0.4,0.8,18,16500,-600,1
2025-12-29,29,0.4482758620689655,0.8666666666666667,16,15300,0.4482758620689655,0.8666666666666667,16,15300,0,1
2026-01-05,30,0.5,1.0,15,14700,0.4,0.8,18,16500,1800,1
2026-01-12,28,0.5,0.9333333333333333,14,14100,0.5357142857142857,1.0,13,13500,-600,1
