decision_week,previous_week,model,gateways_available,historical_repairs,repairs_captured_top15,repair_capture,mean_repair_rank,median_repair_rank
2025-08-11,2025-08-04,business,280,8,2,0.25,35.5,27.0
2025-08-11,2025-08-04,technical,280,8,3,0.375,81.25,53.0
2025-08-11,2025-08-04,balanced,280,8,3,0.375,54.5,36.5
2025-08-11,2025-08-04,full,280,8,3,0.375,47.75,31.5
2025-08-18,2025-08-11,business,280,8,3,0.375,57.875,18.0
2025-08-18,2025-08-11,technical,280,8,1,0.125,92.125,57.5
2025-08-18,2025-08-11,balanced,280,8,3,0.375,61.0,34.0
2025-08-18,2025-08-11,full,280,8,3,0.375,57.625,32.5
2025-08-25,2025-08-18,business,280,7,2,0.2857142857142857,56.714285714285715,21.0
2025-08-25,2025-08-18,technical,280,7,1,0.14285714285714285,120.57142857142857,92.0
2025-08-25,2025-08-18,balanced,280,7,1,0.14285714285714285,72.85714285714286,53.0
2025-08-25,2025-08-18,full,280,7,1,0.14285714285714285,69.42857142857143,46.0
2025-09-01,2025-08-25,business,280,2,1,0.5,23.5,23.5
2025-09-01,2025-08-25,technical,280,2,1,0.5,18.0,18.0
2025-09-01,2025-08-25,balanced,280,2,2,1.0,7.0,7.0
2025-09-01,2025-08-25,full,280,2,2,1.0,7.5,7.5
2025-09-08,2025-09-01,business,280,3,2,0.6666666666666666,11.0,14.0
2025-09-08,2025-09-01,technical,280,3,1,0.3333333333333333,19.0,20.0
2025-09-08,2025-09-01,balanced,280,3,3,1.0,10.0,10.0
2025-09-08,2025-09-01,full,280,3,3,1.0,9.666666666666666,10.0
2025-09-15,2025-09-08,business,280,5,3,0.6,15.0,14.0
2025-09-15,2025-09-08,technical,280,5,2,0.4,55.0,36.0
2025-09-15,2025-09-08,balanced,280,5,4,0.8,17.8,10.0
2025-09-15,2025-09-08,full,280,5,4,0.8,15.6,9.0
2025-09-22,2025-09-15,business,280,2,1,0.5,10.5,10.5
2025-09-22,2025-09-15,technical,280,2,0,0.0,68.5,68.5
2025-09-22,2025-09-15,balanced,280,2,0,0.0,25.5,25.5
2025-09-22,2025-09-15,full,280,2,0,0.0,25.0,25.0
2025-09-29,2025-09-22,business,279,5,2,0.4,36.0,35.0
2025-09-29,2025-09-22,technical,279,5,1,0.2,53.8,27.0
2025-09-29,2025-09-22,balanced,279,5,1,0.2,27.0,28.0
2025-09-29,2025-09-22,full,279,5,1,0.2,27.0,24.0
2025-10-06,2025-09-29,business,279,3,2,0.6666666666666666,76.33333333333333,14.0
2025-10-06,2025-09-29,technical,279,3,0,0.0,68.0,75.0
2025-10-06,2025-09-29,balanced,279,3,0,0.0,64.66666666666667,26.0
2025-10-06,2025-09-29,full,279,3,0,0.0,63.0,22.0
2025-10-13,2025-10-06,business,278,4,3,0.75,23.5,14.5
2025-10-13,2025-10-06,technical,278,4,0,0.0,73.25,57.5
2025-10-13,2025-10-06,balanced,278,4,1,0.25,30.0,25.5
2025-10-13,2025-10-06,full,278,4,1,0.25,30.25,22.5
2025-10-20,2025-10-13,business,278,5,3,0.6,29.2,14.0
2025-10-20,2025-10-13,technical,278,5,1,0.2,58.2,25.0
2025-10-20,2025-10-13,balanced,278,5,3,0.6,28.4,12.0
2025-10-20,2025-10-13,full,278,5,3,0.6,24.8,12.0
2025-10-27,2025-10-20,business,277,3,2,0.6666666666666666,16.666666666666668,8.0
2025-10-27,2025-10-20,technical,277,3,1,0.3333333333333333,68.0,76.0
2025-10-27,2025-10-20,balanced,277,3,1,0.3333333333333333,31.666666666666668,30.0
2025-10-27,2025-10-20,full,277,3,1,0.3333333333333333,32.0,29.0
2025-11-03,2025-10-27,business,277,8,2,0.25,36.75,34.5
2025-11-03,2025-10-27,technical,277,8,3,0.375,44.25,36.0
