decision_week,previous_week,model,historical_repairs,captured_top15,capture_rate
2025-08-11,2025-08-04,A_business_level,8,2,0.25
2025-08-11,2025-08-04,B_business_trend,8,2,0.25
2025-08-11,2025-08-04,C_persistence,8,2,0.25
2025-08-11,2025-08-04,D_technical_confirm,8,2,0.25
2025-08-18,2025-08-11,A_business_level,8,2,0.25
2025-08-18,2025-08-11,B_business_trend,8,3,0.375
2025-08-18,2025-08-11,C_persistence,8,3,0.375
2025-08-18,2025-08-11,D_technical_confirm,8,3,0.375
2025-08-25,2025-08-18,A_business_level,7,1,0.14285714285714285
2025-08-25,2025-08-18,B_business_trend,7,2,0.2857142857142857
2025-08-25,2025-08-18,C_persistence,7,1,0.14285714285714285
2025-08-25,2025-08-18,D_technical_confirm,7,2,0.2857142857142857
2025-09-01,2025-08-25,A_business_level,2,1,0.5
2025-09-01,2025-08-25,B_business_trend,2,1,0.5
2025-09-01,2025-08-25,C_persistence,2,1,0.5
2025-09-01,2025-08-25,D_technical_confirm,2,1,0.5
2025-09-08,2025-09-01,A_business_level,3,2,0.6666666666666666
2025-09-08,2025-09-01,B_business_trend,3,2,0.6666666666666666
2025-09-08,2025-09-01,C_persistence,3,2,0.6666666666666666
2025-09-08,2025-09-01,D_technical_confirm,3,3,1.0
2025-09-15,2025-09-08,A_business_level,5,3,0.6
2025-09-15,2025-09-08,B_business_trend,5,3,0.6
2025-09-15,2025-09-08,C_persistence,5,3,0.6
2025-09-15,2025-09-08,D_technical_confirm,5,3,0.6
2025-09-22,2025-09-15,A_business_level,2,0,0.0
2025-09-22,2025-09-15,B_business_trend,2,1,0.5
2025-09-22,2025-09-15,C_persistence,2,1,0.5
2025-09-22,2025-09-15,D_technical_confirm,2,1,0.5
2025-09-29,2025-09-22,A_business_level,5,3,0.6
2025-09-29,2025-09-22,B_business_trend,5,2,0.4
2025-09-29,2025-09-22,C_persistence,5,2,0.4
2025-09-29,2025-09-22,D_technical_confirm,5,2,0.4
2025-10-06,2025-09-29,A_business_level,3,0,0.0
2025-10-06,2025-09-29,B_business_trend,3,2,0.6666666666666666
2025-10-06,2025-09-29,C_persistence,3,2,0.6666666666666666
2025-10-06,2025-09-29,D_technical_confirm,3,1,0.3333333333333333
2025-10-13,2025-10-06,A_business_level,4,1,0.25
2025-10-13,2025-10-06,B_business_trend,4,3,0.75
2025-10-13,2025-10-06,C_persistence,4,2,0.5
2025-10-13,2025-10-06,D_technical_confirm,4,2,0.5
2025-10-20,2025-10-13,A_business_level,5,2,0.4
2025-10-20,2025-10-13,B_business_trend,5,3,0.6
2025-10-20,2025-10-13,C_persistence,5,3,0.6
2025-10-20,2025-10-13,D_technical_confirm,5,3,0.6
2025-10-27,2025-10-20,A_business_level,3,1,0.3333333333333333
2025-10-27,2025-10-20,B_business_trend,3,2,0.6666666666666666
2025-10-27,2025-10-20,C_persistence,3,2,0.6666666666666666
2025-10-27,2025-10-20,D_technical_confirm,3,1,0.3333333333333333
2025-11-03,2025-10-27,A_business_level,8,4,0.5
2025-11-03,2025-10-27,B_business_trend,8,2,0.25
2025-11-03,2025-10-27,C_persistence,8,2,0.25
2025-11-03,2025-10-27,D_technical_confirm,8,3,0.375
2025-11-10,2025-11-03,A_business_level,8,3,0.375
2025-11-10,2025-11-03,B_business_trend,8,5,0.625
2025-11-10,2025-11-03,C_persistence,8,5,0.625
2025-11-10,2025-11-03,D_technical_confirm,8,4,0.5
2025-11-17,2025-11-10,A_business_level,2,0,0.0
2025-11-17,2025-11-10,B_business_trend,2,1,0.5
2025-11-17,2025-11-10,C_persistence,2,1,0.5
2025-11-17,2025-11-10,D_technical_confirm,2,1,0.5
2025-11-24,2025-11-17,A_business_level,7,1,0.14285714285714285
2025-11-24,2025-11-17,B_business_trend,7,4,0.5714285714285714
2025-11-24,2025-11-17,C_persistence,7,4,0.5714285714285714
2025-11-24,2025-11-17,D_technical_confirm,7,4,0.5714285714285714
2025-12-01,2025-11-24,A_business_level,4,2,0.5
2025-12-01,2025-11-24,B_business_trend,4,2,0.5
2025-12-01,2025-11-24,C_persistence,4,3,0.75
2025-12-01,2025-11-24,D_technical_confirm,4,4,1.0
2025-12-08,2025-12-01,A_business_level,7,3,0.42857142857142855
2025-12-08,2025-12-01,B_business_trend,7,2,0.2857142857142857
2025-12-08,2025-12-01,C_persistence,7,3,0.42857142857142855
2025-12-08,2025-12-01,D_technical_confirm,7,3,0.42857142857142855
2025-12-15,2025-12-08,A_business_level,4,1,0.25
2025-12-15,2025-12-08,B_business_trend,4,3,0.75
2025-12-15,2025-12-08,C_persistence,4,3,0.75
2025-12-15,2025-12-08,D_technical_confirm,4,2,0.5
2025-12-22,2025-12-15,A_business_level,4,1,0.25
2025-12-22,2025-12-15,B_business_trend,4,1,0.25
2025-12-22,2025-12-15,C_persistence,4,1,0.25
2025-12-22,2025-12-15,D_technical_confirm,4,3,0.75
2025-12-29,2025-12-22,A_business_level,3,1,0.3333333333333333
2025-12-29,2025-12-22,B_business_trend,3,0,0.0
2025-12-29,2025-12-22,C_persistence,3,0,0.0
2025-12-29,2025-12-22,D_technical_confirm,3,1,0.3333333333333333
2026-01-05,2025-12-29,A_business_level,3,1,0.3333333333333333
2026-01-05,2025-12-29,B_business_trend,3,2,0.6666666666666666
2026-01-05,2025-12-29,C_persistence,3,2,0.6666666666666666
