decision_week,threshold,qualified_gateways,dispatched_gateways,future_failure_events,captured_failure_events,missed_failure_weeks,recall_at_15,precision_at_15,visit_cost,missed_failure_cost,total_cost
2025-08-11,0.4,194,15,61,25,36,0.4098360655737705,0.8333333333333334,5700,21600,27300
2025-08-11,0.5,134,15,61,25,36,0.4098360655737705,0.8333333333333334,5700,21600,27300
2025-08-11,0.6,78,15,61,25,36,0.4098360655737705,0.8333333333333334,5700,21600,27300
2025-08-11,0.7,41,15,61,25,36,0.4098360655737705,0.8333333333333334,5700,21600,27300
2025-08-11,0.8,7,7,61,11,50,0.18032786885245902,0.36666666666666664,5700,30000,35700
2025-08-11,0.9,0,0,61,0,61,0.0,0.0,5700,36600,42300
2025-08-18,0.4,190,15,59,22,37,0.3728813559322034,0.7333333333333333,5700,22200,27900
2025-08-18,0.5,132,15,59,22,37,0.3728813559322034,0.7333333333333333,5700,22200,27900
2025-08-18,0.6,82,15,59,22,37,0.3728813559322034,0.7333333333333333,5700,22200,27900
2025-08-18,0.7,46,15,59,22,37,0.3728813559322034,0.7333333333333333,5700,22200,27900
2025-08-18,0.8,29,15,59,22,37,0.3728813559322034,0.7333333333333333,5700,22200,27900
2025-08-18,0.9,14,14,59,22,37,0.3728813559322034,0.7333333333333333,5700,22200,27900
2025-08-25,0.4,189,15,49,12,37,0.24489795918367346,0.4,5700,22200,27900
2025-08-25,0.5,128,15,49,12,37,0.24489795918367346,0.4,5700,22200,27900
2025-08-25,0.6,86,15,49,12,37,0.24489795918367346,0.4,5700,22200,27900
2025-08-25,0.7,49,15,49,12,37,0.24489795918367346,0.4,5700,22200,27900
2025-08-25,0.8,32,15,49,12,37,0.24489795918367346,0.4,5700,22200,27900
2025-08-25,0.9,11,11,49,7,42,0.14285714285714285,0.23333333333333334,5700,25200,30900
2025-09-01,0.4,175,15,48,19,29,0.3958333333333333,0.6333333333333333,5700,17400,23100
2025-09-01,0.5,136,15,48,19,29,0.3958333333333333,0.6333333333333333,5700,17400,23100
2025-09-01,0.6,93,15,48,19,29,0.3958333333333333,0.6333333333333333,5700,17400,23100
2025-09-01,0.7,50,15,48,19,29,0.3958333333333333,0.6333333333333333,5700,17400,23100
2025-09-01,0.8,24,15,48,19,29,0.3958333333333333,0.6333333333333333,5700,17400,23100
2025-09-01,0.9,10,10,48,13,35,0.2708333333333333,0.43333333333333335,5700,21000,26700
2025-09-08,0.4,185,15,55,25,30,0.45454545454545453,0.8333333333333334,5700,18000,23700
2025-09-08,0.5,140,15,55,25,30,0.45454545454545453,0.8333333333333334,5700,18000,23700
2025-09-08,0.6,79,15,55,25,30,0.45454545454545453,0.8333333333333334,5700,18000,23700
2025-09-08,0.7,44,15,55,25,30,0.45454545454545453,0.8333333333333334,5700,18000,23700
2025-09-08,0.8,23,15,55,25,30,0.45454545454545453,0.8333333333333334,5700,18000,23700
2025-09-08,0.9,15,15,55,25,30,0.45454545454545453,0.8333333333333334,5700,18000,23700
2025-09-15,0.4,188,15,55,22,33,0.4,0.7333333333333333,5700,19800,25500
2025-09-15,0.5,133,15,55,22,33,0.4,0.7333333333333333,5700,19800,25500
2025-09-15,0.6,84,15,55,22,33,0.4,0.7333333333333333,5700,19800,25500
2025-09-15,0.7,40,15,55,22,33,0.4,0.7333333333333333,5700,19800,25500
2025-09-15,0.8,24,15,55,22,33,0.4,0.7333333333333333,5700,19800,25500
2025-09-15,0.9,12,12,55,20,35,0.36363636363636365,0.6666666666666666,5700,21000,26700
2025-09-22,0.4,181,15,52,19,33,0.36538461538461536,0.6333333333333333,5700,19800,25500
2025-09-22,0.5,132,15,52,19,33,0.36538461538461536,0.6333333333333333,5700,19800,25500
2025-09-22,0.6,86,15,52,19,33,0.36538461538461536,0.6333333333333333,5700,19800,25500
2025-09-22,0.7,50,15,52,19,33,0.36538461538461536,0.6333333333333333,5700,19800,25500
2025-09-22,0.8,28,15,52,19,33,0.36538461538461536,0.6333333333333333,5700,19800,25500
2025-09-22,0.9,15,15,52,19,33,0.36538461538461536,0.6333333333333333,5700,19800,25500
2025-09-29,0.4,176,15,52,22,30,0.4230769230769231,0.7333333333333333,5700,18000,23700
2025-09-29,0.5,131,15,52,22,30,0.4230769230769231,0.7333333333333333,5700,18000,23700
2025-09-29,0.6,91,15,52,22,30,0.4230769230769231,0.7333333333333333,5700,18000,23700
2025-09-29,0.7,50,15,52,22,30,0.4230769230769231,0.7333333333333333,5700,18000,23700
2025-09-29,0.8,31,15,52,22,30,0.4230769230769231,0.7333333333333333,5700,18000,23700
2025-09-29,0.9,11,11,52,15,37,0.28846153846153844,0.5,5700,22200,27900
2025-10-06,0.4,183,15,60,24,36,0.4,0.8,5700,21600,27300
2025-10-06,0.5,136,15,60,24,36,0.4,0.8,5700,21600,27300
2025-10-06,0.6,82,15,60,24,36,0.4,0.8,5700,21600,27300
2025-10-06,0.7,44,15,60,24,36,0.4,0.8,5700,21600,27300
2025-10-06,0.8,26,15,60,24,36,0.4,0.8,5700,21600,27300
2025-10-06,0.9,17,15,60,24,36,0.4,0.8,5700,21600,27300
2025-10-13,0.4,174,15,66,24,42,0.36363636363636365,0.8,5700,25200,30900
2025-10-13,0.5,130,15,66,24,42,0.36363636363636365,0.8,5700,25200,30900
2025-10-13,0.6,91,15,66,24,42,0.36363636363636365,0.8,5700,25200,30900
2025-10-13,0.7,44,15,66,24,42,0.36363636363636365,0.8,5700,25200,30900
2025-10-13,0.8,27,15,66,24,42,0.36363636363636365,0.8,5700,25200,30900
2025-10-13,0.9,13,13,66,21,45,0.3181818181818182,0.7,5700,27000,32700
2025-10-20,0.4,178,15,70,25,45,0.35714285714285715,0.8333333333333334,5700,27000,32700
2025-10-20,0.5,144,15,70,25,45,0.35714285714285715,0.8333333333333334,5700,27000,32700
2025-10-20,0.6,87,15,70,25,45,0.35714285714285715,0.8333333333333334,5700,27000,32700
2025-10-20,0.7,43,15,70,25,45,0.35714285714285715,0.8333333333333334,5700,27000,32700
2025-10-20,0.8,25,15,70,25,45,0.35714285714285715,0.8333333333333334,5700,27000,32700
2025-10-20,0.9,14,14,70,24,46,0.34285714285714286,0.8,5700,27600,33300
2025-10-27,0.4,181,15,77,25,52,0.3246753246753247,0.8333333333333334,5700,31200,36900
2025-10-27,0.5,133,15,77,25,52,0.3246753246753247,0.8333333333333334,5700,31200,36900
2025-10-27,0.6,86,15,77,25,52,0.3246753246753247,0.8333333333333334,5700,31200,36900
2025-10-27,0.7,52,15,77,25,52,0.3246753246753247,0.8333333333333334,5700,31200,36900
2025-10-27,0.8,25,15,77,25,52,0.3246753246753247,0.8333333333333334,5700,31200,36900
2025-10-27,0.9,15,15,77,25,52,0.3246753246753247,0.8333333333333334,5700,31200,36900
2025-11-03,0.4,175,15,80,29,51,0.3625,0.9666666666666667,5700,30600,36300
2025-11-03,0.5,138,15,80,29,51,0.3625,0.9666666666666667,5700,30600,36300
2025-11-03,0.6,81,15,80,29,51,0.3625,0.9666666666666667,5700,30600,36300
2025-11-03,0.7,47,15,80,29,51,0.3625,0.9666666666666667,5700,30600,36300
2025-11-03,0.8,25,15,80,29,51,0.3625,0.9666666666666667,5700,30600,36300
2025-11-03,0.9,11,11,80,21,59,0.2625,0.7,5700,35400,41100
2025-11-10,0.4,177,15,74,22,52,0.2972972972972973,0.7333333333333333,5700,31200,36900
2025-11-10,0.5,133,15,74,22,52,0.2972972972972973,0.7333333333333333,5700,31200,36900
2025-11-10,0.6,86,15,74,22,52,0.2972972972972973,0.7333333333333333,5700,31200,36900
2025-11-10,0.7,50,15,74,22,52,0.2972972972972973,0.7333333333333333,5700,31200,36900
2025-11-10,0.8,31,15,74,22,52,0.2972972972972973,0.7333333333333333,5700,31200,36900
2025-11-10,0.9,19,15,74,22,52,0.2972972972972973,0.7333333333333333,5700,31200,36900
2025-11-17,0.4,178,15,63,22,41,0.3492063492063492,0.7333333333333333,5700,24600,30300
2025-11-17,0.5,135,15,63,22,41,0.3492063492063492,0.7333333333333333,5700,24600,30300
2025-11-17,0.6,88,15,63,22,41,0.3492063492063492,0.7333333333333333,5700,24600,30300
2025-11-17,0.7,49,15,63,22,41,0.3492063492063492,0.7333333333333333,5700,24600,30300
2025-11-17,0.8,28,15,63,22,41,0.3492063492063492,0.7333333333333333,5700,24600,30300
2025-11-17,0.9,13,13,63,18,45,0.2857142857142857,0.6,5700,27000,32700
2025-11-24,0.4,184,15,60,23,37,0.38333333333333336,0.7666666666666667,5700,22200,27900
2025-11-24,0.5,135,15,60,23,37,0.38333333333333336,0.7666666666666667,5700,22200,27900
2025-11-24,0.6,82,15,60,23,37,0.38333333333333336,0.7666666666666667,5700,22200,27900
2025-11-24,0.7,43,15,60,23,37,0.38333333333333336,0.7666666666666667,5700,22200,27900
2025-11-24,0.8,22,15,60,23,37,0.38333333333333336,0.7666666666666667,5700,22200,27900
2025-11-24,0.9,7,7,60,9,51,0.15,0.3,5700,30600,36300
2025-12-01,0.4,190,15,65,21,44,0.3230769230769231,0.7,5700,26400,32100
2025-12-01,0.5,129,15,65,21,44,0.3230769230769231,0.7,5700,26400,32100
2025-12-01,0.6,87,15,65,21,44,0.3230769230769231,0.7,5700,26400,32100
2025-12-01,0.7,45,15,65,21,44,0.3230769230769231,0.7,5700,26400,32100
2025-12-01,0.8,26,15,65,21,44,0.3230769230769231,0.7,5700,26400,32100
2025-12-01,0.9,9,9,65,15,50,0.23076923076923078,0.5,5700,30000,35700
2025-12-08,0.4,184,15,63,21,42,0.3333333333333333,0.7,5700,25200,30900
2025-12-08,0.5,131,15,63,21,42,0.3333333333333333,0.7,5700,25200,30900
2025-12-08,0.6,79,15,63,21,42,0.3333333333333333,0.7,5700,25200,30900
2025-12-08,0.7,41,15,63,21,42,0.3333333333333333,0.7,5700,25200,30900
2025-12-08,0.8,16,15,63,21,42,0.3333333333333333,0.7,5700,25200,30900
2025-12-08,0.9,8,8,63,11,52,0.1746031746031746,0.36666666666666664,5700,31200,36900
2025-12-15,0.4,179,15,60,22,38,0.36666666666666664,0.7333333333333333,5700,22800,28500
2025-12-15,0.5,132,15,60,22,38,0.36666666666666664,0.7333333333333333,5700,22800,28500
2025-12-15,0.6,82,15,60,22,38,0.36666666666666664,0.7333333333333333,5700,22800,28500
2025-12-15,0.7,41,15,60,22,38,0.36666666666666664,0.7333333333333333,5700,22800,28500
2025-12-15,0.8,22,15,60,22,38,0.36666666666666664,0.7333333333333333,5700,22800,28500
2025-12-15,0.9,10,10,60,15,45,0.25,0.5,5700,27000,32700
2025-12-22,0.4,174,15,59,21,38,0.3559322033898305,0.7,5700,22800,28500
2025-12-22,0.5,129,15,59,21,38,0.3559322033898305,0.7,5700,22800,28500
2025-12-22,0.6,80,15,59,21,38,0.3559322033898305,0.7,5700,22800,28500
2025-12-22,0.7,49,15,59,21,38,0.3559322033898305,0.7,5700,22800,28500
2025-12-22,0.8,29,15,59,21,38,0.3559322033898305,0.7,5700,22800,28500
2025-12-22,0.9,12,12,59,17,42,0.288135593220339,0.5666666666666667,5700,25200,30900
2025-12-29,0.4,177,15,59,25,34,0.423728813559322,0.8333333333333334,5700,20400,26100
2025-12-29,0.5,125,15,59,25,34,0.423728813559322,0.8333333333333334,5700,20400,26100
2025-12-29,0.6,82,15,59,25,34,0.423728813559322,0.8333333333333334,5700,20400,26100
2025-12-29,0.7,51,15,59,25,34,0.423728813559322,0.8333333333333334,5700,20400,26100
2025-12-29,0.8,23,15,59,25,34,0.423728813559322,0.8333333333333334,5700,20400,26100
2025-12-29,0.9,8,8,59,12,47,0.2033898305084746,0.4,5700,28200,33900
2026-01-05,0.4,181,15,58,24,34,0.41379310344827586,0.8,5700,20400,26100
2026-01-05,0.5,128,15,58,24,34,0.41379310344827586,0.8,5700,20400,26100
2026-01-05,0.6,79,15,58,24,34,0.41379310344827586,0.8,5700,20400,26100
